                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76422,                 1.3805,                 1.2395,                0.74756,                0.48022,                0.48191,                0.23325,                 1.7651,                 4.7717,                 1.6563,              0.0006932,              0.0006932,              0.0006932
                     36,                0.74663,                 1.3429,                 1.2197,                0.84704,                0.47973,                0.48207,                0.24266,                 1.8256,                 4.4505,                 1.7058,              0.0006536,              0.0006536,              0.0006536
                     37,                0.71172,                 1.2823,                 1.2001,                0.63647,                 0.4527,                0.43604,                0.21397,                 1.8055,                 4.4437,                 1.6752,               0.000614,               0.000614,               0.000614
                     38,                0.73339,                 1.3318,                 1.2137,                0.73297,                0.46368,                0.44146,                0.18866,                 1.9563,                  4.467,                 1.7066,              0.0005744,              0.0005744,              0.0005744
                     39,                0.74899,                 1.3278,                 1.2122,                0.77855,                0.48649,                0.48293,                0.22186,                 1.9361,                 4.1379,                  1.736,              0.0005348,              0.0005348,              0.0005348
                     40,                0.71637,                 1.3308,                 1.2007,                  0.772,                0.47973,                0.46557,                0.23005,                  1.808,                 4.6975,                 1.7833,              0.0004952,              0.0004952,              0.0004952
                     41,                0.72759,                 1.5737,                 1.2864,                0.87042,                0.48649,                0.49019,                0.23884,                 1.7814,                 4.6492,                 1.6604,              0.0004556,              0.0004556,              0.0004556
                     42,                0.73443,                 1.4936,                 1.2755,                0.83341,                0.49324,                 0.4962,                0.26152,                  1.678,                 4.1677,                 1.5393,               0.000416,               0.000416,               0.000416
                     43,                0.75642,                 1.5154,                 1.2713,                0.75614,                0.45946,                0.45993,                0.24728,                 1.7944,                 3.9291,                 1.6147,              0.0003764,              0.0003764,              0.0003764
                     44,                0.73199,                 1.4686,                 1.2625,                0.85812,                0.48649,                0.50102,                0.24527,                 1.8412,                 3.8293,                 1.6389,              0.0003368,              0.0003368,              0.0003368
                     45,                0.75846,                 1.4282,                 1.2555,                0.76003,                0.48649,                0.50306,                0.24274,                 1.7885,                 4.1168,                 1.6014,              0.0002972,              0.0002972,              0.0002972
                     46,                0.76731,                 1.4176,                 1.2758,                0.78966,                0.47297,                0.50421,                0.25248,                 1.7946,                 4.1321,                 1.6014,              0.0002576,              0.0002576,              0.0002576
                     47,                0.73752,                 1.3577,                 1.2704,                0.81995,                0.49233,                0.51918,                0.25092,                 1.8283,                 4.0436,                 1.6018,               0.000218,               0.000218,               0.000218
                     48,                 0.7446,                 1.4593,                  1.254,                0.84379,                0.47448,                 0.5461,                0.26899,                 1.7842,                 3.9348,                 1.5845,              0.0001784,              0.0001784,              0.0001784
                     49,                 0.7366,                  1.377,                 1.2567,                0.75949,                0.48649,                0.50752,                0.26079,                 1.8382,                 3.9706,                 1.6006,              0.0001388,              0.0001388,              0.0001388
                     50,                0.72151,                 1.3246,                 1.2289,                0.81265,                    0.5,                0.51574,                0.26726,                 1.7422,                 3.9256,                 1.5535,               9.92e-05,               9.92e-05,               9.92e-05
